DATE,BOROUGH,POPULATION,POPULATION PERCENTAGE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,TSUN
1995 / 07,Bronx,1203789,16.44,,155.7,0,26.19,30.56,21.82,16034
1995 / 08,Bronx,1203789,16.44,,4.6,0,25.86,30.77,20.95,20815
1995 / 09,Bronx,1203789,16.44,,77.1,0,20.14,24.78,15.5,12999
1995 / 10,Bronx,1203789,16.44,,198.5,0,16.45,21.13,11.78,
1995 / 11,Bronx,1203789,16.44,3.3,146.9,74,6.44,10.06,2.82,
1995 / 12,Bronx,1203789,16.44,3.7,53.9,293,0.22,3.31,-2.88,
1995 / 01,Brooklyn,2300664,31.42,,95.4,5,3.07,6.19,-0.05,8194
1995 / 02,Brooklyn,2300664,31.42,,79.5,295,-0.24,3.79,-4.28,10605
1995 / 03,Brooklyn,2300664,31.42,,31.9,0,7.21,11.63,2.79,12736
1995 / 04,Brooklyn,2300664,31.42,,58.2,0,11.06,16.33,5.79,15725
1995 / 05,Brooklyn,2300664,31.42,,72.2,0,16.6,21.16,12.04,12526
1995 / 06,Brooklyn,2300664,31.42,,53.2,0,22.12,26.85,17.39,13686
1995 / 07,Brooklyn,2300664,31.42,,155.7,0,26.19,30.56,21.82,16034
